panel,controller,wave,band,freq_Hz,t_ms,setpoint_nm,displacement_nm
a,PID,Sine,normal bandwidth,1000,0,1000,0
a,PID,Sine,normal bandwidth,1000,0.003,1000,102.5
a,PID,Sine,normal bandwidth,1000,0.006,1000,380.2621875
a,PID,Sine,normal bandwidth,1000,0.009,1000,618.408543007813
a,PID,Sine,normal bandwidth,1000,0.012,1000,822.589274561323
a,PID,Sine,normal bandwidth,1000,0.015,1000,997.648729277014
a,PID,Sine,normal bandwidth,1000,0.018,1000,1050.61086022655
a,PID,Sine,normal bandwidth,1000,0.021,1000,1080.55954999571
a,PID,Sine,normal bandwidth,1000,0.024,1000,1069.95321228416
a,PID,Sine,normal bandwidth,1000,0.027,1000,1056.22308245431
a,PID,Sine,normal bandwidth,1000,0.03,1000,1040.11540158942
a,PID,Sine,normal bandwidth,1000,0.033,1000,1033.17491835384
a,PID,Sine,normal bandwidth,1000,0.036,1000,1026.89730539045
a,PID,Sine,normal bandwidth,1000,0.039,1000,1023.7189965407
a,PID,Sine,normal bandwidth,1000,0.042,1000,1021.28021879151
a,PID,Sine,normal bandwidth,1000,0.045,1000,1018.71199978349
a,PID,Sine,normal bandwidth,1000,0.048,1000,1016.96214430594
a,PID,Sine,normal bandwidth,1000,0.051,1000,1014.86488125716
a,PID,Sine,normal bandwidth,1000,0.054,1000,1013.05389812433
a,PID,Sine,normal bandwidth,1000,0.057,1000,1011.51292849156
a,PID,Sine,normal bandwidth,1000,0.06,1000,1009.85116997632
a,PID,Sine,normal bandwidth,1000,0.063,1000,1008.84015230715
a,PID,Sine,normal bandwidth,1000,0.066,1000,1007.68622309998
a,PID,Sine,normal bandwidth,1000,0.069,1000,1006.75392300098
a,PID,Sine,normal bandwidth,1000,0.072,1000,1005.96760979397
a,PID,Sine,normal bandwidth,1000,0.075,1000,1005.12095276026
a,PID,Sine,normal bandwidth,1000,0.078,1000,1004.60019009863
a,PID,Sine,normal bandwidth,1000,0.081,1000,1004.00298119747
a,PID,Sine,normal bandwidth,1000,0.084,1000,1003.5171408201
a,PID,Sine,normal bandwidth,1000,0.087,1000,1003.10702313149
a,PID,Sine,normal bandwidth,1000,0.09,1000,1002.66538588579
a,PID,Sine,normal bandwidth,1000,0.093,1000,1002.39407691764
a,PID,Sine,normal bandwidth,1000,0.096,1000,1002.08309634878
a,PID,Sine,normal bandwidth,1000,0.099,1000,1001.8302920855
a,PID,Sine,normal bandwidth,1000,0.102,1000,1001.61690721031
a,PID,Sine,normal bandwidth,1000,0.105,1000,1001.38712371282
a,PID,Sine,normal bandwidth,1000,0.108,1000,1001.24594269327
a,PID,Sine,normal bandwidth,1000,0.111,1000,1001.08410932518
a,PID,Sine,normal bandwidth,1000,0.114,1000,1000.95254063849
a,PID,Sine,normal bandwidth,1000,0.117,1000,1000.84148640321
a,PID,Sine,normal bandwidth,1000,0.12,1000,1000.72189767672
a,PID,Sine,normal bandwidth,1000,0.123,1000,1000.64842240514
a,PID,Sine,normal bandwidth,1000,0.126,1000,1000.56419942615
a,PID,Sine,normal bandwidth,1000,0.129,1000,1000.49572765602
a,PID,Sine,normal bandwidth,1000,0.132,1000,1000.43793218154
a,PID,Sine,normal bandwidth,1000,0.135,1000,1000.37569513291
a,PID,Sine,normal bandwidth,1000,0.138,1000,1000.33745664883
a,PID,Sine,normal bandwidth,1000,0.141,1000,1000.29362474739
a,PID,Sine,normal bandwidth,1000,0.144,1000,1000.25799016799
a,PID,Sine,normal bandwidth,1000,0.147,1000,1000.22791182254
a,PID,Sine,normal bandwidth,1000,0.15,1000,1000.19552196102
a,PID,Sine,normal bandwidth,1000,0.153,1000,1000.17562161217
a,PID,Sine,normal bandwidth,1000,0.156,1000,1000.15281029788
a,PID,Sine,normal bandwidth,1000,0.159,1000,1000.13426509472
a,PID,Sine,normal bandwidth,1000,0.162,1000,1000.11861150673
a,PID,Sine,normal bandwidth,1000,0.165,1000,1000.10175494293
a,PID,Sine,normal bandwidth,1000,0.168,1000,1000.0913982606
a,PID,Sine,normal bandwidth,1000,0.171,1000,1000.07952663268
a,PID,Sine,normal bandwidth,1000,0.174,1000,1000.06987520484
a,PID,Sine,normal bandwidth,1000,0.177,1000,1000.06172865214
a,PID,Sine,normal bandwidth,1000,0.18,1000,1000.05295603813
a,PID,Sine,normal bandwidth,1000,0.183,1000,1000.04756613913
a,PID,Sine,normal bandwidth,1000,0.186,1000,1000.04138782127
a,PID,Sine,normal bandwidth,1000,0.189,1000,1000.03636495589
a,PID,Sine,normal bandwidth,1000,0.192,1000,1000.03212526843
a,PID,Sine,normal bandwidth,1000,0.195,1000,1000.02755976165
a,PID,Sine,normal bandwidth,1000,0.198,1000,1000.02475471171
a,PID,Sine,normal bandwidth,1000,0.201,1000,1000.02153934716
a,PID,Sine,normal bandwidth,1000,0.204,1000,1000.01892531149
a,PID,Sine,normal bandwidth,1000,0.207,1000,1000.01671886289
a,PID,Sine,normal bandwidth,1000,0.21,1000,1000.01434284907
a,PID,Sine,normal bandwidth,1000,0.213,1000,1000.01288302484
a,PID,Sine,normal bandwidth,1000,0.216,1000,1000.01120966173
a,PID,Sine,normal bandwidth,1000,0.219,1000,1000.00984924651
a,PID,Sine,normal bandwidth,1000,0.222,1000,1000.00870095069
a,PID,Sine,normal bandwidth,1000,0.225,1000,1000.00746440851
a,PID,Sine,normal bandwidth,1000,0.228,1000,1000.0067046763
